MAp,mphi,Mchi1,angle,gX,epsilon,ff,Mchi2,Densidad reliquia,loglikelihood
0.2548901479693146,0.004725635381522361,0.0849633826564382,0.0001,1.1209982432795857,0.00011091436135834371,0.004397966152126598,0.086,0.133,0.07763368842706812
1.9063610604990022,1.586660902606865,0.6354536868330007,0.0001,1.1209982432795857,0.00014784059647742027,0.0005880303928292352,0.636,2.18,85.68774735481784
1.5058059242033823,0.0011946923600889344,0.5019353080677941,0.0001,1.1209982432795857,2.981753404094192e-05,0.0007444506793746533,0.503,27.1,99.08936714719373
0.003986644667744486,1.7882793018966077,0.0013288815559148286,0.0001,1.1209982432795857,3.8157696857262406e-05,0.281188401953518,0.002,9.73,97.3429714913321
0.004116382984688026,2.3980421716288354,0.0013721276615626752,0.0001,1.1209982432795857,5.143743484338304e-06,0.27232603172480185,0.002,4.15,93.21796527478834
0.35809473437997025,0.00377487378563662,0.11936491145999008,0.0001,1.1209982432795857,1.9565778476653444e-05,0.0031304516253794095,0.12,4.42,93.68476520540726
0.031131192348159968,0.2695523565254492,0.010377064116053323,0.0001,1.1209982432795857,3.1801167096898586e-06,0.03600884382270836,0.011,2.98,90.07973217038897
0.2730285979655088,2.841860273151344,0.0910095326551696,0.0001,1.1209982432795857,6.30200319921092e-05,0.004105790571510752,0.092,0.432,25.177950670418806
0.06457627876371928,0.4072007755272905,0.021525426254573096,0.0001,1.1209982432795857,2.169660635547287e-05,0.017359288344583168,0.023,0.276,8.81177220323272
0.17301701079216936,0.34855725821981415,0.057672336930723114,0.0001,1.1209982432795857,1.1396162625052124e-06,0.0064791215508060405,0.059,256.0,99.90596708384066
